RELATIVE_PATH,ABSOLUTE_PATH,FILE_SIZE,EXTENSION,MIME_TYPE,ENCODING,SHA256,MODIFIED_TIME,SYMLINK_STATUS
Architecture Blueprint FlowForge_2.md,/home/xxammaxx/Dokumente/Promps/Architecture Blueprint FlowForge_2.md,1,.md,text/markdown,utf-8,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1775564426.0,REGULAR
Blueprint ___ GitHub Issues Generator.md,/home/xxammaxx/Dokumente/Promps/Blueprint ___ GitHub Issues Generator.md,16710,.md,text/markdown,utf-8,a53b842b6224c44402f08995d963b9160a33d95ef4c820936fdc96d3a3860151,1778010042.0,REGULAR
Deep Research Funktion_ Funktionsweise und Details.md,/home/xxammaxx/Dokumente/Promps/Deep Research Funktion_ Funktionsweise und Details.md,20461,.md,text/markdown,utf-8,cf687cf7704cffb34589723117db545ba651d2906078815d06397278dd80fcbc,1779596128.0,REGULAR
blueprint_verbessern_v2.md,/home/xxammaxx/Dokumente/Promps/blueprint_verbessern_v2.md,9081,.md,text/markdown,utf-8,0bc9ac74e06121ca3734ae3f053cd4d8a968f440d8ae62efbc15f70bda8155ef,1777622662.0,REGULAR
.md,/home/xxammaxx/Dokumente/Promps/.md,1,,unknown,utf-8,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1775866464.0,REGULAR
init_project.py,/home/xxammaxx/Dokumente/Promps/init_project.py,23585,.py,text/x-python,utf-8,cd6d726c69f52aae6c8fea963e384054fc32dfd8546b256ebbd624cc535cc97c,1775815224.0,REGULAR
__vertikale_integration__.md,/home/xxammaxx/Dokumente/Promps/__vertikale_integration__.md,24050,.md,text/markdown,utf-8,d4d11727562f660b235e12d78b83a02e4d07bcd6dff91df7a85ee1ff4dac27ee,1778503530.0,REGULAR
app_conzepte_neuer_prompt.md,/home/xxammaxx/Dokumente/Promps/app_conzepte_neuer_prompt.md,43983,.md,text/markdown,utf-8,326f3e26698b66e2252df46febac937d2b04e3338e65564af71d7dc13802e851,1777627902.0,REGULAR
positron_github_issues_prompt_erweiterung.md,/home/xxammaxx/Dokumente/Promps/positron_github_issues_prompt_erweiterung.md,8661,.md,text/markdown,utf-8,4e1cb454dc2a7a4830f350aa7005c0264c9dad772c518d75c465ad7edb4ad9c8,1778152196.0,REGULAR
Marktanalyse Deutschland 2026_ 5 hochrelevante Problemfelder und K__ufergruppen_grok.md#,/home/xxammaxx/Dokumente/Promps/Marktanalyse Deutschland 2026_ 5 hochrelevante Problemfelder und K__ufergruppen_grok.md#,10386,.md#,unknown,utf-8,bd0be13fcda5815f801981c259eb1854d92d56bf24960739893c776b4c418faa,1775210462.0,REGULAR
prompt_analyse.md,/home/xxammaxx/Dokumente/Promps/prompt_analyse.md,3839,.md,text/markdown,utf-8,d320dd78e2f77e4d4a130410b7904a4be46f1333f26bf7e0cdf7665d6995022d,1775645818.0,REGULAR
Marktanalyse Deutschland 2026_ 5 hochrelevante Problemfelder und K__ufergruppen_vc2.md,/home/xxammaxx/Dokumente/Promps/Marktanalyse Deutschland 2026_ 5 hochrelevante Problemfelder und K__ufergruppen_vc2.md,22389,.md,text/markdown,utf-8,75310d6da528a8bef36a34192bf456a475babee31be05cd3d8d2f13abd27d6ab,1777624224.0,REGULAR
Marktanalyse Deutschland 2026_game_idee.md,/home/xxammaxx/Dokumente/Promps/Marktanalyse Deutschland 2026_game_idee.md,20502,.md,text/markdown,utf-8,beb125bdfd1db2af821b7252f22e6a735ae1f0b57b479fd5982695fc3dfd09bb,1776945280.0,REGULAR
1.md,/home/xxammaxx/Dokumente/Promps/1.md,12336,.md,text/markdown,utf-8,e7bb5bbf8a65df8560627f957767d329f21a9d437a36acbc2c97489b434590e1,1775283404.0,REGULAR
QA Execution Unit_v5.md,/home/xxammaxx/Dokumente/Promps/QA Execution Unit_v5.md,55856,.md,text/markdown,utf-8,cefd125ba36d7d9d8e83e2e139b1b900347f3fe4b15b4cc295c17a94a6aa0f74,1775685742.0,REGULAR
app_ideen.md,/home/xxammaxx/Dokumente/Promps/app_ideen.md,116831,.md,text/markdown,utf-8,543551644a3a167e03b3a777a20ca46ffee3e7c1de44c0fd97ee2893d7860467,1775658296.0,REGULAR
__Blueprint ___ GitHub Issues Generator__.md,/home/xxammaxx/Dokumente/Promps/__Blueprint ___ GitHub Issues Generator__.md,18503,.md,text/markdown,utf-8,6c048fddf46930aac28ed85e2de28cd827d47b03fb16e208ef6d290ac3262c7d,1777796710.0,REGULAR
QA Execution Unit_v3.md,/home/xxammaxx/Dokumente/Promps/QA Execution Unit_v3.md,27366,.md,text/markdown,utf-8,c2fd0c379fdce62d50aaf21ea2e05856b731546ee44b0d888558622911730441,1775681578.0,REGULAR
positron_combined_github_issues_generator_prompt.md,/home/xxammaxx/Dokumente/Promps/positron_combined_github_issues_generator_prompt.md,27568,.md,text/markdown,utf-8,0dd823bd8cafacd208986f7f75b1e376c7b8e38d0b99072da8a2f5381312e484,1778152732.0,REGULAR
Codebase_Analyse_Prompt_fuer_Reparaturanweisung.md,/home/xxammaxx/Dokumente/Promps/Codebase_Analyse_Prompt_fuer_Reparaturanweisung.md,7741,.md,text/markdown,utf-8,4968bbd96c757e88c080d1edabd1ce53c4cad71d5736f79be099783e9429368b,1779111586.0,REGULAR
